!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-07-27 00:00:00	3.729408	0	101713.22	15.646906	86.117599	0.92137873	146.98715	2.6080452e-08
1979-07-28 00:00:00	5.1821547	0	101260.66	15.59115	94.917747	0.91934582	145.78185	9.0318143e-08
1979-07-29 00:00:00	3.7422321	0	100652.49	14.777094	90.062363	0.89585012	155.32497	6.2896892e-08
1979-07-30 00:00:00	4.8554006	0	100128.02	12.900293	92.63504	1	57.927216	5.9733138e-08
1979-07-31 00:00:00	6.0147367	0	99644.672	11.693903	82.907173	0.87660621	164.03912	9.6657452e-08
1979-08-01 00:00:00	4.9254169	0	99599.188	12.465082	90.196281	0.85691295	168.72003	8.2270708e-08
1979-08-02 00:00:00	4.581953	0	100541.73	12.261865	86.750984	0.92615115	142.4612	4.080408e-08
1979-08-03 00:00:00	3.5697126	0	101497.47	12.362817	79.227028	0.81419013	183.0954	7.0009737e-09
1979-08-04 00:00:00	3.2860265	0	101749.66	12.301691	74.997902	0.81524924	182.20494	2.5330166e-08
1979-08-05 00:00:00	5.9424067	0	100924.74	13.706598	87.728638	1	107.78956	1.272035e-07
1979-08-06 00:00:00	5.7602987	0	100247.75	14.185724	92.924194	1	52.280563	2.2757723e-07
1979-08-07 00:00:00	4.5748768	0	100607.42	12.090723	78.415405	0.69467325	215.20694	9.4482839e-09
1979-08-08 00:00:00	3.7205701	0	101001.22	11.544489	86.579208	0.86239581	160.15309	1.069673e-07
1979-08-09 00:00:00	4.7274761	0	100841.88	12.156396	76.039322	0.52766526	253.46387	5.9248381e-08
1979-08-10 00:00:00	4.5889945	0	101149.77	13.379572	86.738419	0.89822212	143.98505	6.148775e-08
1979-08-11 00:00:00	4.6787434	0	101382.95	15.06109	94.264732	1	85.514	3.7447899e-08
1979-08-12 00:00:00	5.2248907	0	101233.22	15.023035	96.130234	1	65.170464	1.6453436e-07
1979-08-13 00:00:00	3.9444218	0	100656.55	12.755884	88.939713	0.96701918	116.03805	1.155201e-07
1979-08-14 00:00:00	6.5642638	0	99124.234	11.318292	93.414581	1	44.618336	3.1660602e-07
1979-08-15 00:00:00	5.0028563	0	100581.69	11.06933	82.586952	0.67264317	206.6208	7.6599179e-08
1979-08-16 00:00:00	5.440022	0	100265.36	11.849969	89.294312	1	51.410633	1.6761778e-07
1979-08-17 00:00:00	4.6391597	0	100942.12	12.812158	77.344452	0.72334528	189.34599	1.0009018e-08
1979-08-18 00:00:00	3.1520529	0	101864.65	12.267969	77.375351	0.61717199	214.49997	2.2418542e-08
1979-08-19 00:00:00	5.0030928	0	101985.14	12.504358	84.166252	0.83714424	152.83276	1.4442994e-08
1979-08-20 00:00:00	5.3359613	0	101602.56	11.843286	88.387482	1	80.077728	6.120943e-08
1979-08-21 00:00:00	5.2974114	0	101497.05	10.604425	84.118088	0.83039467	153.39473	4.2376902e-08
1979-08-22 00:00:00	5.6474004	0	101206.7	10.487054	81.269279	0.72661745	181.40187	4.5422759e-08
1979-08-23 00:00:00	6.7710662	0	100748.45	10.990198	84.849915	0.93649861	117.08783	9.398222e-08
1979-08-24 00:00:00	4.2168612	0	101108.73	11.564966	77.052361	0.88196697	133.84975	5.7973382e-08
1979-08-25 00:00:00	2.9617805	0	100665.09	13.086694	89.135849	0.99459966	94.129311	5.4994318e-08
1979-08-26 00:00:00	2.8095558	0	101799.83	13.257898	70.006348	0.63262027	196.22214	0
1979-08-27 00:00:00	1.7806585	0	102124.84	12.341577	72.157417	0.28701069	248.91968	0
1979-08-28 00:00:00	3.4925988	0	102174.8	13.286584	77.077736	0.50823643	214.8252	0
1979-08-29 00:00:00	2.8391824	0	102126.52	13.63241	74.415443	0.4601305	220.47537	0
1979-08-30 00:00:00	2.9514973	0	101713.23	13.592615	77.956444	0.75142165	159.60135	5.6173913e-09
1979-08-31 00:00:00	4.4998331	0	101235.84	14.793481	96.14119	1	56.382183	1.1496939e-07
1979-09-01 00:00:00	5.3184276	0	100837.7	13.996912	96.535599	1	61.343269	6.0934428e-08
